sample,n_units,h_z_corr,theta_y_scale_multiplier,config,T0,T1,branch,estimator,n,mean_bias_component_total,mean_abs_bias_component_total,rmse_bias_component_total,mean_bias_component_gfe,mean_abs_bias_component_gfe,rmse_bias_component_gfe,mean_bias_component_shock,mean_abs_bias_component_shock,rmse_bias_component_shock,mean_bias_component_eps,mean_abs_bias_component_eps,rmse_bias_component_eps
full,51,0.5,3.0,finite_length,5,10,Aggregate Shock,SIV,1000,0.006665180335485726,0.03755062818262602,0.08091371232787725,0.0,0.0,0.0,0.005737837516600441,0.029258974260125727,0.05152925713026637,0.0009273428188852898,0.018823557975808456,0.04911330982545837
full,51,0.5,3.0,finite_length,5,10,Aggregate Shock,TSLS,1000,0.4803991710288935,1.1302214493349665,17.86420778679667,0.0,0.0,0.0,0.48322674741672,1.129511813668918,17.892289073854,-0.002827576387826438,0.019186525950047374,0.05298977485754654
full,51,0.5,3.0,finite_length,5,10,Basic,SIV,1000,-0.0007998765438657875,0.016526617761369558,0.022827398075707463,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007998765438657869,0.016526617761369558,0.022827398075707463
full,51,0.5,3.0,finite_length,5,10,Basic,TSLS,1000,-0.0005931974966007593,0.015443054601280187,0.020946011908347148,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005931974966007591,0.015443054601280187,0.020946011908347145
full,51,0.5,3.0,finite_length,5,10,GFE,SIV,1000,-0.00014736493299744713,0.043972303642798964,0.06682096512453305,0.0005656025652277557,0.0392068018172262,0.06389412911940949,0.0,0.0,0.0,-0.0007129674982251986,0.01657941250140815,0.022880926130434173
full,51,0.5,3.0,finite_length,5,10,GFE,TSLS,1000,0.009942882117239201,0.2972785825819552,0.44630781747633946,0.010501979611845513,0.2967215004646638,0.4463524077450293,0.0,0.0,0.0,-0.0005590974946063041,0.015712088916946025,0.021648455243435803
full,51,0.5,3.0,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.03737971353737062,0.11508462232580557,0.18477832439239678,0.0005062750201446966,0.07514052878905866,0.12902551285344901,0.03700025194082568,0.07359266310933009,0.1292220952975787,-0.0001268134235997568,0.017753188970547118,0.026690038341808588
full,51,0.5,3.0,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.2801913464716107,0.5306027838101246,2.8746120285556764,0.009977348243770268,0.3003376689736713,1.2746610753146272,0.2727177516658912,0.40161396076023426,1.8773006790223241,-0.0025037534380507546,0.017564069644886694,0.03712420378788722
full,51,0.5,3.0,longer_length,30,60,Aggregate Shock,SIV,1000,-0.000408669641959798,0.01441469106303327,0.019027852354911615,0.0,0.0,0.0,-0.00033858516872301735,0.009949224512521308,0.014545037921791616,-7.008447323678002e-05,0.010192357593365951,0.013043949365290576
full,51,0.5,3.0,longer_length,30,60,Aggregate Shock,TSLS,1000,0.4188639265804737,0.41923464565300156,0.44384487027088554,0.0,0.0,0.0,0.41873407917726124,0.4192093700537091,0.44372126048494803,0.00012984740321243248,0.005046504647368593,0.006298003478583827
full,51,0.5,3.0,longer_length,30,60,Basic,SIV,1000,0.0002054353268756487,0.015906053469218383,0.02054296553534562,0.0,0.0,0.0,0.0,0.0,0.0,0.0002054353268756482,0.01590605346921838,0.02054296553534562
full,51,0.5,3.0,longer_length,30,60,Basic,TSLS,1000,1.5015835883035344e-05,0.005361457230099285,0.006660083405060948,0.0,0.0,0.0,0.0,0.0,0.0,1.50158358830349e-05,0.005361457230099285,0.006660083405060948
full,51,0.5,3.0,longer_length,30,60,GFE,SIV,1000,0.0003121878772625275,0.0085884604617188,0.010884631205320454,0.0002553890710397089,0.0022674773277087147,0.003228448358567705,0.0,0.0,0.0,5.679880622281791e-05,0.008114606832125967,0.010199477962702163
full,51,0.5,3.0,longer_length,30,60,GFE,TSLS,1000,-0.001722682962977442,0.0667522615272259,0.08379081075711761,-0.001740459269766236,0.06655341142459219,0.08344480192754529,0.0,0.0,0.0,1.7776306788792884e-05,0.005373014053894033,0.006693649630841851
full,51,0.5,3.0,longer_length,30,60,GFE + Agg. Shock,SIV,1000,0.0021906369464770917,0.011679787647209814,0.01528814152744414,0.0002009224873973786,0.0023845599290053844,0.0034065605598236474,0.002057264550664994,0.00802733102443727,0.011179929048062727,-6.75500915852808e-05,0.007818164901140819,0.009865437180291916
full,51,0.5,3.0,longer_length,30,60,GFE + Agg. Shock,TSLS,1000,0.42125644655401207,0.42218086869565363,0.45385104487902783,0.002358118539602296,0.05996211534256126,0.08350461033710034,0.4187662710920902,0.4192408142167778,0.4438194899620666,0.00013205692231952254,0.005072833077926305,0.0063510054790606564
restricted,49,0.5,3.0,finite_length,5,10,Aggregate Shock,SIV,1000,0.01242829118796245,0.04212256971925423,0.06622186138077173,0.0,0.0,0.0,0.011094584901199188,0.034493222539253396,0.062253269828803755,0.0013337062867632636,0.019428866165944258,0.030580518974355132
restricted,49,0.5,3.0,finite_length,5,10,Aggregate Shock,TSLS,1000,0.35659934507249336,0.73938737920721,2.7031917659480076,0.0,0.0,0.0,0.3631203007158058,0.7321609872359119,2.57454730622601,-0.006520955643312487,0.02583188053895908,0.15420987969196562
restricted,49,0.5,3.0,finite_length,5,10,Basic,SIV,1000,0.0010161214716780723,0.01820379258067261,0.026032084351492485,0.0,0.0,0.0,0.0,0.0,0.0,0.0010161214716780723,0.01820379258067261,0.026032084351492485
restricted,49,0.5,3.0,finite_length,5,10,Basic,TSLS,1000,0.0011162125130108988,0.01706921256201737,0.02361862971046641,0.0,0.0,0.0,0.0,0.0,0.0,0.0011162125130108986,0.017069212562017367,0.02361862971046641
restricted,49,0.5,3.0,finite_length,5,10,GFE,SIV,1000,-1.3798899868923714e-05,0.04961722585604871,0.09046302932158308,-0.0010245383554355464,0.044779611882732155,0.08055337138651004,0.0,0.0,0.0,0.0010107394555666244,0.018459153322686227,0.027023358334355957
restricted,49,0.5,3.0,finite_length,5,10,GFE,TSLS,1000,0.019795946262067324,0.3729980424998015,0.566445633006962,0.018607778105260566,0.3727068921197002,0.564489708447905,0.0,0.0,0.0,0.001188168156806767,0.01726686004941589,0.024414140259799835
restricted,49,0.5,3.0,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.06050659053147861,0.1449579993926127,0.24664420799252793,-0.007332635367962182,0.08990492790361801,0.15229105019036004,0.06668720919274335,0.1012732231463876,0.19894418680022366,0.0011520167066974415,0.019309796024693484,0.0287678066807748
restricted,49,0.5,3.0,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.8799979008762929,1.1606372757070367,9.585562683230517,-0.45216069805264303,0.9214879681613428,15.107508869664171,1.2322179904744406,1.3831681276974888,19.939429369873196,0.09994060845449489,0.12168759648986587,3.0325801324593935
restricted,49,0.5,3.0,longer_length,30,60,Aggregate Shock,SIV,1000,0.0023260136375498255,0.01798180070435509,0.02415265215830298,0.0,0.0,0.0,0.0022247606925499797,0.012492792006298499,0.018545262212464324,0.00010125294499984494,0.012012241801124573,0.015130935030252148
restricted,49,0.5,3.0,longer_length,30,60,Aggregate Shock,TSLS,1000,0.43185381447987187,0.43241973103532394,0.45569824159367506,0.0,0.0,0.0,0.4317588862870161,0.4323565394710922,0.4555650936928067,9.492819285572097e-05,0.004044333447646149,0.0050999635969247795
restricted,49,0.5,3.0,longer_length,30,60,Basic,SIV,1000,-0.0003091821292473495,0.014864869860824078,0.018961417521019756,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003091821292473486,0.014864869860824078,0.018961417521019756
restricted,49,0.5,3.0,longer_length,30,60,Basic,TSLS,1000,1.857264644887649e-05,0.005394270523678065,0.0067379246099249866,0.0,0.0,0.0,0.0,0.0,0.0,1.857264644887699e-05,0.005394270523678065,0.0067379246099249866
restricted,49,0.5,3.0,longer_length,30,60,GFE,SIV,1000,-9.490686654967617e-05,0.009196616211683627,0.011854691445636441,-3.426975019375582e-05,0.0025558468109045628,0.0037532992626945092,0.0,0.0,0.0,-6.06371163559204e-05,0.00879163882347754,0.011286958684808413
restricted,49,0.5,3.0,longer_length,30,60,GFE,TSLS,1000,-0.0021887933351072194,0.0910771162476002,0.11334405271000923,-0.002217843836906339,0.09131530371447055,0.11324099480183662,0.0,0.0,0.0,2.9050501799118e-05,0.005402851742720288,0.006744837904642066
restricted,49,0.5,3.0,longer_length,30,60,GFE + Agg. Shock,SIV,1000,0.0069834437832163,0.0156167420677076,0.0204719548668016,-4.649250865792987e-06,0.0029950156535570047,0.0044849746599441385,0.0067158111976040455,0.011440964767654964,0.01632767781433971,0.0002722818364780479,0.009900001215114354,0.012614270808462799
restricted,49,0.5,3.0,longer_length,30,60,GFE + Agg. Shock,TSLS,1000,0.4279686824887316,0.43147268510498105,0.46661621182698043,-0.0035581988484453706,0.09296851579042587,0.11571847501878799,0.43142380984470186,0.43202116952458786,0.4552239541410186,0.00010307149247501445,0.004044819755431474,0.005095835666992757
